away_corner_kick,away_foul,away_offside,away_pass_fail,away_pass_success,away_possession,away_red_card,away_score,away_shot,away_shot_accuracy,away_shot_on_target,away_tackle_success,away_team,away_yellow_card,home_corner_kick,home_foul,home_offside,home_pass_fail,home_pass_success,home_possession,home_red_card,home_score,home_shot,home_shot_accuracy,home_shot_on_target,home_tackle_success,home_team,home_yellow_card,stadium,week
5,20,2,85,211,40,0,2,11,50,3,13,RANS NUSANTARA FC,2,5,16,1,81,329,60,0,2,16,46.67,7,13,MADURA UNITED FC,1,"Stadion Gelora Bangkalan, Bangkalan",24
7,12,2,74,280,48,0,2,11,60,6,11,PS BARITO PUTERA,1,5,17,0,79,304,52,0,2,17,80,8,13,DEWA UNITED FC,1,"Stadion Indomilk Arena, Tangerang",24
4,22,1,56,201,41,0,0,8,50,4,10,BALI UNITED FC,5,9,17,0,63,293,59,0,1,20,66.67,10,13,PERSIK KEDIRI,2,"Stadion Brawijaya, Kediri",24
2,17,1,63,330,43,0,4,8,83.33,5,9,PSIS SEMARANG,2,0,18,2,63,446,57,0,1,18,46.67,7,14,AREMA FC,4,"Stadion Kapten I Wayan Dipta, Gianyar",24
5,11,2,95,279,52,0,2,12,50,5,19,PERSIKABO 1973,3,9,19,1,91,268,48,0,2,17,30,3,17,PSS SLEMAN,3,"Stadion Sultan Agung, Bantul",24
2,10,0,75,353,52,0,2,5,100,5,11,PERSIS SOLO,2,10,9,0,88,329,48,0,2,18,46.15,6,12,PERSIB BANDUNG,2,"Stadion Gelora Bandung Lautan Api, Bandung",24
4,21,2,76,259,56,1,0,13,27.27,3,13,BHAYANGKARA PRESISI INDONESIA FC,3,1,13,3,74,209,44,1,1,9,37.5,3,8,PERSEBAYA SURABAYA,5,"Stadion Gelora Bung Tomo, Surabaya",24
4,11,4,70,330,61,0,0,12,54.55,6,13,PERSITA TANGERANG,3,9,17,3,91,212,39,0,4,18,66.67,8,17,PSM MAKASSAR,0,"Stadion Batakan, Balikpapan",24
7,18,0,71,381,66,0,2,13,50,4,20,MADURA UNITED FC,2,4,15,1,69,198,34,0,3,12,87.5,7,12,PERSIS SOLO,4,"Stadion Manahan, Solo",24
1,10,0,57,374,59,0,1,12,36.36,4,16,PSIS SEMARANG,4,8,13,1,68,267,41,0,1,14,63.64,7,19,PERSEBAYA SURABAYA,2,"Stadion Gelora Bung Tomo, Surabaya",24
10,16,3,92,353,66,0,0,13,58.33,7,18,BALI UNITED FC,3,6,6,0,72,180,34,1,0,17,50,6,15,PSM MAKASSAR,0,"Stadion Batakan, Balikpapan",25
5,18,0,61,326,59,0,1,9,57.14,4,14,PERSIK KEDIRI,5,7,8,2,76,235,41,0,2,12,55.56,5,25,PERSIS SOLO,3,"Stadion Manahan, Solo",25
4,12,0,59,250,39,2,1,9,14.29,1,14,PERSIB BANDUNG,3,6,16,0,69,401,61,0,1,11,25,2,12,PS BARITO PUTERA,3,"Stadion Sultan Agung, Bantul",25
6,16,2,71,409,57,0,1,17,50,7,14,DEWA UNITED FC,1,5,12,2,61,317,43,0,1,17,37.5,6,13,PSIS SEMARANG,2,"Stadion Moch. Soebroto, Magelang",25
5,20,2,78,288,45,0,1,14,54.55,6,16,PERSEBAYA SURABAYA,2,2,14,0,67,358,55,0,1,9,57.14,4,16,PERSITA TANGERANG,3,"Stadion Indomilk Arena, Tangerang",25
1,16,3,62,265,42,1,3,6,80,4,10,AREMA FC,3,7,18,0,84,370,58,2,2,12,60,6,10,RANS NUSANTARA FC,4,"Stadion Sultan Agung, Bantul",25
5,22,2,73,272,47,0,1,11,40,4,15,MADURA UNITED FC,4,6,14,6,76,308,53,0,0,9,28.57,2,13,PERSIJA JAKARTA,3,"Stadion Kapten I Wayan Dipta, Gianyar",25
2,11,3,73,264,48,0,4,13,54.55,6,10,PSS SLEMAN,1,4,16,1,83,296,52,0,1,15,72.73,8,8,BHAYANGKARA PRESISI INDONESIA FC,5,"Stadion STIK Jakarta, Jakarta Selatan",25
9,8,1,77,444,59,0,3,21,40,6,11,BORNEO FC SAMARINDA,3,4,19,3,62,317,41,0,2,16,61.54,8,8,PERSIKABO 1973,3,"Stadion Kapten I Wayan Dipta, Gianyar",25
